card_company,card_name,promotions,all_promotions,fee,perform,brand,rank,chart_in
BC 바로카드,BC 바로 클리어 플러스,점심식사/배달앱 7%할인 && 온라인쇼핑 10%할인 && 휴대폰요금/스트리밍 10%할인,점심식사 7% 할인 && 배달앱 7% 할인 && 대중교통 7% 할인 && 편의점 10% 할인 && 온라인쇼핑 10% 할인 && 뷰티 10% 할인 && 통신 10% 할인 && 스트리밍 10% 할인 && 전국 모든 가맹점 2~3개월 상시 무이자할부 && MasterCard Platinum/ VISA Platinum 기본 서비스,국내전용 5000원  해외겸용 5000원,15,BC Mastercard,41.523809523809526,1.0
현대카드,현대카드ZERO Edition3(할인형),국내외 가맹점 0.8%할인,실적・한도 제한 없이 국내외 가맹점 이용 금액의 0.8% 청구 할인,국내전용 15000원  해외겸용 15000원,0,VISA AMEX,83.0,1.0
BC 바로카드,K-패스 카드,대중교통 15%할인 && OTT/스트리밍 15%할인 && 이동통신요금 5%할인,"대중교통(버스, 지하철) 15% 결제일 할인 && OTT/스트리밍 15% 결제일 할인 && 이동통신요금 5% 결제일 할인 && 편의점 5% 결제일 할인 && 카페 5% 결제일 할인 && 해외 3% 결제일 할인",국내전용 6000원  해외겸용 7000원,30,VISA,0.0,0.0
신한카드,신한카드 Deep Oil,4개정유사 10%할인 && 차량서비스 10%할인 && 편의점/커피/택시 5%할인,"4개의 정유사 중 직접 고른 1개 정유사 주유 이용금액 10% 결제일 할인 && 정비소(스피드메이트), 주차장 이용금액 10% 결제일 할인 && GS25, CU 5% 결제일 할인 && 스타벅스, 이디야 5% 결제일 할인 && 택시 5% 결제일 할인 && 롯데시네마 일반관 5천원 현장 할인",해외겸용 10000원,30,Mastercard,21.387096774193548,1.0
KB국민카드,다담카드,교통/통신 10%할인 && 주유소/충전소 60원/L할인 && 생활/교육/쇼핑 등 적립팩선택,"버스, 지하철 10% 청구할인 && SKT, KT Olleh, LG U+ 10% 청구할인 && SK주유소(충전소) 리터당 60원 청구할인 && 인터파크 영화 예매 시 1매당 3,500원 청구할인 && 롯데월드, 에버랜드, 캐리비안베이 30~50% 할인 && 해외가맹점 5% 할인캐시백 && 선택 적립 서비스팩 - 생활/교육/쇼핑/직장인/레저팩 중 택 1 && 연간 이용에 따른 다담리워드 서비스,함께하는 기부 서비스",국내전용 15000원  해외겸용 20000원,30,VISA Mastercard,24.131147540983605,1.0
롯데카드,디지로카 London,국내·해외 최대 0.7%할인 && 즉시결제 최대 1%할인 && 추가수수료없이 나누어납부,어디서나 0.7% 캐시백 && 즉시 결제 1% 추가 캐시백 && LOCA 나누기 혜택,국내전용 20000원  해외겸용 20000원,0,Mastercard AMEX,31.5,1.0
KB국민카드,K-패스카드,대중교통 10%할인 && 생활서비스 5%할인 && KB Pay 이용 시 5%추가할인,청구 할인 서비스,국내전용 8000원  해외겸용 8000원,30,VISA,79.0,1.0
신한카드,신한카드 Deep Dream Platinum+,모두드림 최대 1.1%적립 && 더해드림 최대 3.3%적립 && 챙겨드림 최대 5.5%적립,"국내/외 가맹점 0.7~1.1% 포인트 적립 && 자주 가는 DREAM 영역 2.4~3.3% 포인트 적립 && 가장 많이 가는 DREAM 영역 4.0~5.5% 포인트 적립 && 주유소 리터당 80원 적립, 택시 2천 원 할인 && DREAM 영역 안내 && 통합 적립한도 안내 && 신한금융그룹 우대 서비스,Platinum+ 서비스",해외겸용 30000원,0,VISA UnionPay,28.24590163934426,1.0
BC 바로카드,BC 바로 에어 플러스 스카이패스,1천원당 1마일리지적립 && 1백만원당 200마일리지적립,대한항공 마일리지 기본적립1천원당 1스카이패스 마일리지 && 대한항공 마일리지 보너스 적립: 1백만원당 200스카이패스 마일리지 && 무이자할부 서비스전국 모든 가맹점 2~3개월 && MasterCard Platinum/ VISA Platinum 기본 서비스,국내전용 19000원  해외겸용 19000원,0,BC Mastercard,33.2,1.0
현대카드,현대카드Z work Edition2,카페 10%할인 && 온라인 쇼핑 10%할인 && 대중교통 10%할인,온라인 쇼핑몰 10% 청구 할인 && 편의점 10% 청구 할인 && 커피전문점 10% 청구 할인 && 대중교통 10% 청구 할인 && 도서 10% 청구 할인,국내전용 20000원  해외겸용 20000원,50,VISA AMEX,0.0,0.0
삼성카드,K-패스 삼성카드,대중교통 10%할인 && 커피전문점 20%할인 && 디지털콘텐츠/멤버십 20%할인,대중교통 10% 결제일 할인 && 커피전문점 20% 결제일 할인 && 디지털콘텐츠/멤버십 정기결제 시 20% 결제일 할인 && 온라인쇼핑 3% 결제일 할인 && K-패스 마일리지,국내전용 10000원  해외겸용 10000원,40,Mastercard,100.0,1.0
삼성카드,삼성 iD GLOBAL 카드,해외 이용 2%할인 && 공항라운지 연 2회무료 이용 && 디지털콘텐츠 50%할인,해외 수수료 할인 && 해외 2% 할인 && 삼성페이로 결제 시 해외 오프라인 가맹점 5% 할인 && 공항 라운지 서비스 (The Lounge) && 인앱 결제/디지털콘텐츠/멤버십 50% 할인 && 일상 필수 영역 1% 할인 && 국내 가맹점 0.5% 할인,국내전용 20000원  해외겸용 20000원,50,Mastercard,0.0,0.0
IBK기업은행,IBK무민카드(신용),"주요 커피전문점 20%할인 && 쿠팡, 티몬, 위메프 20%할인 && 편의점 10%할인","주요 커피전문점 20% 할인 && 쿠팡, 티몬, 위메프 20% 할인 && GS25, CU, 세븐일레븐, 올리브영 10% 할인,이마트, 홈플러스, 롯데마트 5% 할인 && CGV, 롯데시네마, 메가박스 1만원 할인 && 버스, 지하철 이용건당 200원 할인 && 전 주유소 리터당 60원 할인(LPG포함) && 금융우대서비스(각종 수수료 면제) && 놀이공원 할인",국내전용 10000원  해외겸용 10000원,50,BC Mastercard UnionPay,69.75,1.0
KB국민카드,Easy all 티타늄카드,20개 영역 중 선택형할인 && 택시 10%할인 && 온라인쇼핑 5%할인,Easy all 선택 서비스(택1) && 1. Auto 모드 (많이 쓴 영역에서 자동 캐시백)2. DIY 모드 (원하는 영역에서 자유롭게 청구할인) && 티타늄 서비스,국내전용 30000원  해외겸용 30000원,50,VISA UnionPay,25.674418604651162,1.0
신한카드,신한카드 Hi-Point,전국가맹점 0.2~2.0%적립 && 특정가맹점 1~5%적립 && 에이치디현대오일뱅크 60원/L적립,"백화점/할인점/홈쇼핑·온라인몰 1.0~5.0% 적립 && 전국 가맹점 0.2~2.0% 적립해외 가맹점 1~5% 적립 && S-OIL, 에이치디현대오일뱅크 주유 시 리터 당 60원 적립 && 신한투자증권 CMA 결제계좌 0.2% 추가 적립마이신한포인트 가맹점 추가 적립 && SK텔레콤/KT/LG U+ 이동통신요금 1.0~5.0% 적립 && 무이자/영화/테마파크 && 포인트 적립상세 및 포인트 사용 안내",해외겸용 8000원,0,VISA Mastercard JCB,31.629032258064516,1.0
현대카드,현대카드 M,국내외 가맹점 1.5%적립 && 온라인 쇼핑몰・일반음식점 5%적립 && 해외 가맹점 5%적립,[기본 혜택] 국내외 가맹점 1.5% M포인트 적립전월 이용 금액 50만원 이상 이용 시 && [추가 혜택] 온라인 쇼핑몰・외식・해외 가맹점 5% M포인트 적립(월 1만 M포인트 한도)전월 이용 금액 100만원 이상 이용 시 && M 긴급적립(선지급 포인트 서비스),국내전용 30000원  해외겸용 30000원,50,VISA AMEX,0.0,0.0
삼성카드,삼성 iD SIMPLE 카드,"국내 외 가맹점 0.7%·1%할인 && 온라인쇼핑몰 멤버십 50%할인 && 영화 3,000원할인","국내외 가맹점 0.7% 할인 && 국내외 가맹점 1% 할인 && 온라인쇼핑몰 멤버십 50% 할인 && 영화 3,000원 할인 && 내 마음대로 고르는 디자인!",국내전용 7000원  해외겸용 7000원,0,Mastercard UnionPay,53.26315789473684,1.0
하나카드,하나 스카이패스 아멕스 플래티늄 카드,국내 이용금액 1천원 당 1마일리지적립 && 해외 이용금액 1천원 당 2마일리지적립 && 인천공항 라운지 무료서비스제공,스카이패스 마일리지 적립 && 인천공항 라운지 이용 시 무료서비스 제공,해외겸용 45000원,0,AMEX,52.0,1.0
현대카드,the Green Edition2,바우처 10만원제공 && 공항라운지 무료이용 && M포인트 최대 2%적립,10만원 상당의 바우처 제공 && 전 세계 공항라운지 / 무료 발레파킹 서비스VISA Signature / MasterCard World 서비스 && 기본적립/특별적립 최대 5% 적립 && 보너스 리워드7만 M포인트 적립 또는 연회비 7만원 감면(택 1) && the Green Edition2의 특별한 디자인을 소개합니다.내 취향에 맞는 카드 디자인을 선택해서 발급 받으세요.,국내전용 150000원  해외겸용 150000원,50,VISA,50.035714285714285,1.0
현대카드,네이버 현대카드,네이버플러스멤버십 무료이용권 && 네이버플러스멤버십 회원 5%적립 && 그외가맹점 1%적립,네이버플러스 멤버십 무료 이용권 제공 && 네이버페이 포인트 최대 5% 적립,국내전용 10000원  해외겸용 10000원,30,VISA,29.8,1.0
IBK기업은행,K-패스 (신용),대중교통 최대 300원할인 && 주유 40원/L할인 && 통신 3%할인,[교통특화 서비스] 대중교통 최대 300원 할인 && [교통특화 서비스] 일반교통 5% 할인 && [생활 서비스] 주유 리터당 40원 할인 && [생활 서비스] 통신 3% 할인 && [생활 서비스] 외식 10% 할인 && [생활 서비스] 영화 2천원 할인 && [생활 서비스] 무이자 할부 2~3개월 && [생활 서비스] 놀이공원 본인 무료입장 또는 자유이용권 최대 50% 할인 && [특별우대 서비스] 환전 우대 환율 50% 우대 && [특별우대 서비스] 보험 1천만원 대중교통 상해보험 무료가입,국내전용 2000원  해외겸용 4000원,20,Mastercard,78.5,1.0
우리카드,카드의정석 EVERY MILE SKYPASS,SKYPASS 최대 2마일리지적립 && 해외이용수수료 0.3%면제 && 국내 공항라운지 동반 1인 동시이용,SKYPASS 최대 2마일리지 적립 && 해외수수료 면제 && 국내 공항라운지 동반 1인까지 무료 이용,국내전용 39000원  해외겸용 39000원,0,Mastercard,21.857142857142858,1.0
KB국민카드,BeV V카드(스카이패스형),대한항공마일리지 1.2~3마일적립 && 프리미엄쿠폰 연 1회제공 && 해외 공항라운지 무료이용서비스,대한항공 마일리지 적립서비스 && 쿠폰서비스 && BeV Ⅴ 서비스 (여행/호텔/골프/문화/금융) && 국제브랜드 제공 서비스,국내전용 295000원  해외겸용 300000원,50,Mastercard,52.67857142857143,1.0
삼성카드,삼성 iD ON 카드,많이쓰는 영역 자동맞춤 30%할인 && 교통/이동통신/스트리밍 10%할인 && 온라인간편결제/해외 3%·1%할인,많이 쓰는 영역 30% 자동 맞춤 할인(커피전문점·배달앱·델리 영역) && 교통·이동통신·스트리밍 10% 할인 && 온라인 간편결제·해외 3%·1% 할인 && 내 마음대로 고르는 디자인-다양한 스타일로 새롭게 선보이는 삼성 iD 카드를 소개합니다.,국내전용 20000원  해외겸용 20000원,30,Mastercard,22.333333333333332,1.0
우리카드,DA카드의정석 Ⅱ,모든가맹점 0.8%할인 && 생활업종 1.3%할인 && 국내 공항라운지 무료이용,기본 Discount - 0.8% 기본 청구할인 && 추가 Discount - 0.5% 추가 청구할인(기본 0.8% + 추가 0.5% = 1.3% 청구할인) && 국내 공항라운지 무료 이용 서비스 안내,국내전용 12000원  해외겸용 12000원,0,Mastercard,79.0,1.0
IBK기업은행,I-Mileage (대한항공),국내・해외 가맹점 1마일리지적립 && 공항 라운지 무료 이용서비스 && 스타벅스 4천원청구할인,대한항공 마일리지 적립 && 전 세계 공항 라운지 무료 이용 서비스 && 공항 발레파킹 무료 이용 서비스 && 스타벅스 할인 서비스 && 국제 브랜드 서비스,국내전용 41000원  해외겸용 42000원,0,BC Mastercard,0.0,0.0
BC 바로카드,始發(시발)카드,"배달앱 최대 1,800원할인 && 편의점 최대 1,800원할인 && 실적/한도없이 0.7%할인","[선 넘는 특별 할인] 주요 始發(시발)비용 사용처 최대 1,800원 할인 && 실적/한도 조건없이 0.7% 청구할인",국내전용 5000원  해외겸용 8000원,0,VISA BC,35.23076923076923,1.0
NH농협카드,올바른 NEW HAVE카드,국내외가맹점 0.7%적립 && 이용금액 1위 3배적립 && 공항라운지 무료이용,국내/외 이용가맹점 0.7% NH포인트 적립 && 6개 영역 중 당월(1일~말일) 이용금액 1위/2위 영역은 기본적립의 3배/2배 자동적용 && 국제공항 라운지 무료이용 && 농협 인터넷·모바일·스마트·텔레뱅킹 이체수수료 통합 월 10회,국내전용 12000원  해외겸용 12000원,0,Mastercard,48.42857142857143,1.0
신한카드,신한카드 The BEST-F,"캐시백형 1%캐시백 && 대한항공형 1,500원/1마일적립 && 기프트옵션 1회/연제공","Gift Option Service && 캐시백(캐시백형 선택 시)마일리지 적립(마일리지 적립형 선택 시) && 스타벅스 커피 할인 /  이마트 피자 무료 제공 서비스 / 특급호텔 베이커리 특별 할인 서비스 && 주요 백화점, 할인점, 아울렛 할인 && Priority Pass 카드 제공 && JDC 면세점 / 아시아나, 이스타 항공 할인 && THE BEST-F 공통 Life 서비스",해외겸용 202000원,0,VISA,52.258620689655174,1.0
NH농협카드,K-패스카드(신용),대중교통 10%청구할인 && 렌터카/카쉐어링 10%청구할인 && 전기차 충전 10%청구할인,[모빌리티 서비스] 버스/지하철/택시/철도/렌터카/카쉐어링/전기차 충전 10% 청구할인 && [라이프 서비스①] 이동통신요금/오픈마켓/배달앱/스포츠/H&B 5% 청구할인 && [라이프 서비스②]커피전문점/편의점 10% 청구할인,국내전용 13000원  해외겸용 15000원,40,VISA,0.0,0.0
신한카드,알뜰교통카드,대중교통/택시 10%할인 && 마트/편의점 10%할인 && 전기차 충전 최대 50%할인,"대중교통(버스, 지하철) 이용 시 10% 결제일 할인택시 이용 시 10% 결제일 할인 && 3대 마트(이마트, 롯데마트, 홈플러스) 주말 10% 결제일 할인편의점, 병원/약국 10% 결제일 할인(동물병원 제외) && 커피전문점 이용 시 10% 결제일 할인 && 전기차 이용자를 위한 혜택자동차 보험료 3만원 할인, 충전요금 30~50% 할인, 하이패스 10% 캐시백",해외겸용 12000원,30,Mastercard UnionPay,53.05882352941177,1.0
KB국민카드,굿데이올림카드,주유 60원/L할인 && 통신요금 10%할인 && 대형마트 10%할인,"주유소, 충전소 업종 리터당 60원 청구할인 && 대형마트 10% 청구할인 && 전화요금, 인터넷이용료, 케이블TV 업종 10% 청구할인 && 버스, 지하철, 택시 업종 10% 청구할인 && 해외이용(해외직구) 5% 할인 캐시백 && 음식점, 커피전문점, 편의점, 약국 업종 10% 추가 청구할인 && 학원, 휘트니스센터 업종 10% 추가 청구할인",국내전용 15000원  해외겸용 20000원,30,VISA Mastercard AMEX,52.666666666666664,1.0
현대카드,American Express® Green Card Edition2,바우처 연간 12만원상당 && 전 세계 공항라운지 연 5회무료 이용 && 멤버십리워즈(MR) 최대 2MR적립,"국내 트래블・패션/뷰티 영역에서 사용 가능한 12만원 상당 바우처 제공(연 1회) && 대상점에 따라 이용 금액 1,000원당 최대 2MR 적립 && 전 세계 공항 라운지 이용, 공항 리무진・공항철도서비스 && 공항 및 국내 특급 호텔 무료 발레파킹 서비스 && Be My Guest 호텔 델리/레스토랑, 패밀리 레스토랑 할인",해외겸용 150000원,50,AMEX,0.0,0.0
삼성카드,taptap DIGITAL,온라인간편결제 5%할인 && 스트리밍 50%할인 && 편의점 10%할인,온라인 간편결제 5% 결제일할인 && 스트리밍 50% 결제일할인 && 편의점·헬스&뷰티·생활잡화 10% 결제일할인 && 해외 1.5% 결제일할인,국내전용 10000원  해외겸용 10000원,30,Mastercard,39.63333333333333,1.0
신한카드,아시아나 신한카드 Air 1.5,"1,000원당 1.5마일기본적립 && 1,000원당 3마일추가적립 && 국내 공항라운지무료이용","이용금액 1,000원당 1.5~3 아시아나 마일리지 적립 && 국내 공항라운지 무료 이용(mastercard PLATINUM) && mastercard PLATINUM  서비스 제공",국내전용 43000원  해외겸용 45000원,50,Mastercard,42.806451612903224,1.0
현대카드,대한항공카드 030,국내외가맹점 1마일리지적립 && 특정업종 2마일리지적립 && 웰컴보너스 3천마일리지적립,국내외 가맹점 이용금액 1천원당 1마일리지 기본 적립특정 업종별 이용금액 1천원당 2마일리지 적립(기본 1마일 + 추가 1마일) && MasterCard 플래티넘서비스,국내전용 30000원  해외겸용 30000원,0,Mastercard,38.83783783783784,1.0
삼성카드,THE iD. PLATINUM(포인트),기프트 서비스 15만원 상당제공 && 국내 가맹점 1%빅포인트 적립 && 특별 가맹점 1.5%빅포인트 적립,"[GIFT] 5가지 기프트 중에서 매년 1가지를 선택 && [REWARD] 국내 가맹점 1%, 생활 편의 영역 1.2%, 특별 가맹점 1.5% 빅포인트 적립 && [DAILY LIFESTYLE] 디지털콘텐츠 50% 할인 && [DAILY LIFESTYLE] 스타벅스 3,000원 할인 && [PREMIUM LIFESTYLE] 공항 라운지 서비스(The Lounge) && [SPECIAL PLATE] 특수 소재 카드 && 국제브랜드 서비스(해외겸용카드 전용)",국내전용 215000원  해외겸용 220000원,50,Mastercard,25.166666666666668,1.0
우리카드,카드의정석 EVERY 1,국내외 가맹점 1%청구할인 && 전월실적 따라 최대 2만원추가할인,[기본 할인] 국내외 가맹점 1% 청구할인 && [추가 할인] 전월실적에 따라 매월 최대 2만원 청구할인 && 플레이트 2종 선택,국내전용 12000원  해외겸용 12000원,0,Mastercard,12.625,1.0
현대백화점,현대백화점카드,현대백화점 5%할인 && 현대백화점 2시간 무료주차 && 3개월 무이자할부,현대백화점 5% 할인 && 현대백화점 2시간 무료주차 && 3개월 무이자 할부,국내전용 없음,0,,68.0,1.0
우리카드,우리 K-패스(신용),대중교통 10%할인 && 자동결제업종 10%할인 && 페이코포인트 1%적립,K-패스 사업 지역 안내 && 생활 편의 서비스 && 생활 밀착 서비스,국내전용 13000원  해외겸용 15000원,30,BC Mastercard,50.48936170212766,1.0
하나카드,원더카드 Life,넷플릭스・디즈니플러스 등 40%할인 && 아파트관리비・전기세・가스비 10%할인 && 대중교통 10%할인,[자동이체] 영상 스트리밍 40% 할인 && [자동이체] 생활요금 40% 할인 && 딜리버리 10% 할인 && 대중교통 10% 할인 && 커피 10% 할인 && 편의점 10% 할인,국내전용 19900원  해외겸용 19900원,0,VISA Mastercard AMEX,0.0,0.0
신한카드,신한카드 RPM+ Platinum#,모든주유소 40~150P/L적립 && 모든충전소 10~50P/L적립 && 모든가맹점 0.2~2%적립,모든 주유소 리터당 40~150포인트/충전소 리터당 10~50포인트 적립 && 1~5% 특별적립  && 1~5% 특별적립  && 1~5% 특별적립  && 1~5% 특별적립  && 국내/외 모든 가맹점 0.2~2.0% 적립 && Platinum # 서비스,해외겸용 32000원,50,VISA UnionPay,59.306451612903224,1.0
신한카드,신한카드 Point Plan,국내 가맹점 최대 3%적립 && 주말 외식비 1천 포인트적립 && 도시가스/전기요금 1천 포인트적립,"[일상 생활비 적립 서비스] 국내 건당 결제금액별 0.5~3% 포인트 적립·해외 결제금액 1% 포인트 적립가족행사월(5월,12월) 적립 한도 1만 포인트 추가 제공 && [필수 생활비 적립 서비스] 주말 외식비 포인트 적립 && [필수 생활비 적립 서비스] 정기결제 자동납부 포인트 적립",국내전용 20000원  해외겸용 23000원,0,VISA,0.0,0.0
하나카드,K-패스 하나 신용카드,대중교통 10%청구할인 && 드럭스토어 10%청구할인 && 커피 10%청구할인,"버스/지하철 10% 청구할인 (월 1만원, 월 2만원) && 다이소/올리브영 10% 청구할인 (일 1천원, 월 1만원) && 스타벅스/커피빈 10% 청구할인 (월 5천원)",국내전용 17000원  해외겸용 17000원,50,Mastercard,0.0,0.0
IBK기업은행,Oil & Life카드(Oil카드),"GS칼텍스(LPG포함) 120원/L할인 && CGV, 롯데시네마 2,000원현장할인 && 주요 놀이공원 50%할인","[기본서비스] 휴대폰 이용금액의 3% 할인 && [특화서비스] GS칼텍스 리터당 120원 청구할인(LPG 포함) && [기본서비스] CGV, 롯데시네마 2천원 현장할인 && [기본서비스] 주요 놀이공원 할인 && [기본서비스] 금융수수료 면제 && [기본서비스] GS&POINT 포인트 적립 및 다양한 혜택 제공 && Life Prime/Oil Prime 서비스 중 한가지 선택가능",해외겸용 5000원,30,Mastercard UnionPay,65.34782608695652,1.0
KB국민카드,청춘대로 톡톡카드,스타벅스 50%할인 && 버거/패스트푸드 20%할인 && 간편결제Pay 10%할인,"[Great 서비스] 스타벅스 50% 청구할인 && [Enjoy 서비스] 버거/패스트푸드 업종 20% 청구할인 && [Check 서비스] 간편결제(Pay) 10% 청구할인 && [Basic 서비스] 대중교통, 택시/이동통신요금 10% 청구할인",국내전용 10000원  해외겸용 12000원,30,Mastercard JCB,24.758064516129032,1.0
삼성카드,삼성 iD ALL 카드,많이 쓰는 영역 자동 맞춤 5%할인 && 주유/이동통신/아파트관리비 2.5%할인 && 국내외가맹점 0.5%할인,많이 쓰는 영역 5% 자동 맞춤 할인(백화점·할인점·슈퍼마켓 영역) && 주유·이동통신·아파트 관리비 2.5% 할인 && 국내외 가맹점 0.5% 할인 && 내 마음대로 고르는 디자인-다양한 스타일로 새롭게 선보이는 삼성 iD 카드를 소개합니다.,국내전용 20000원  해외겸용 20000원,40,VISA Mastercard,77.8,1.0
신한카드,티머니 Pay & GO 신한카드,"버스, 지하철 30%할인 && 고속버스, 택시 20%할인 && 이동통신요금 5%할인","[교통서비스 할인(모바일티머니)]대중교통(버스, 지하철) 30% 결제일 할인 && [교통서비스 할인(티머니GO)]고속/시외 버스, 따릉이, 킥보드, 택시 20% 결제일 할인 && [생활서비스 할인]4대 백화점 5% 결제일 할인 && [생활서비스 할인]5대 편의점 5% 결제일 할인 && [생활서비스 할인]이동통신요금 자동이체 5% 결제일 할인 && [생활서비스 할인]커피전문점 5% 결제일 할인 && 카드 플레이트 선택 가능",국내전용 15000원  해외겸용 18000원,30,Mastercard,0.0,0.0
